,City,Temp (F),Humidity,Cloudiness,Wind Speed (MPH),Latitude,Longitude
414,Swift Current,19.4,92,40,9.17,50.28,-107.8
415,Capinota,64.4,42,40,6.93,-17.72,-66.23
416,Lebane,33.12,86,0,1.12,42.92,21.74
417,Oranjestad,80.6,65,20,14.99,12.52,-70.03
418,Addanki,75.54,71,1,3.13,15.82,79.98
419,Trincomalee,79.92,72,31,11.5,8.57,81.23
420,Cabedelo,73.4,94,20,4.7,-6.98,-34.83
421,Camacha,62.6,77,40,10.29,33.08,-16.33
422,Los Llanos de Aridane,60.49,77,75,10.29,28.66,-17.92
423,Sambava,77.88,81,100,4.5,-14.27,50.17
424,Reconquista,72.09,54,0,11.7,-29.15,-59.65
425,Tarakan,81.75,77,60,2.35,3.3,117.63
426,Henties Bay,59.67,90,35,2.35,-22.12,14.28
427,Usinsk,17.65,97,100,14.72,65.99,57.53
428,Portales,44.64,81,75,3.36,34.19,-103.33
429,Salé,58.8,87,40,12.75,34.04,-6.82
430,Billings Metropolitan Area,30.2,80,1,3.78,45.78,-108.5
431,Korla,28.71,87,0,2.01,41.76,86.15
432,Bontang,83.89,69,65,6.11,0.13,117.5
433,Kangaatsiaq,16.3,91,92,11.45,68.31,-53.46
434,Mareeba,85.53,61,100,5.99,-17.0,145.43
435,Hasaki,56.44,71,75,5.82,35.73,140.83
436,Margate,46.56,89,100,4.0,51.38,1.39
437,Lavrentiya,6.28,91,55,10.6,65.58,-171.0
438,Zaragoza,47.35,93,75,8.05,41.66,-0.88
439,Kisangani,69.26,97,93,2.28,0.52,25.2
440,Rodrigues Alves,73.76,89,100,1.77,-7.74,-72.65
441,Svetlaya,27.55,80,63,4.56,46.54,138.33
442,Goundam,69.21,21,48,10.18,16.41,-3.67
443,Rock Sound,72.27,62,68,10.02,24.9,-76.2
444,Barra de Tecoanapa,78.21,81,55,5.77,16.52,-98.75
445,Vitim,-10.82,86,98,3.11,59.45,112.56
446,Mocuba,73.65,95,100,1.79,-16.84,36.99
447,Broome,29.46,86,1,3.36,42.25,-75.83
448,Batagay,-35.43,80,77,2.33,67.63,134.63
449,Vao,77.94,86,90,20.51,-22.67,167.48
450,Luga,23.59,91,100,7.92,58.74,29.85
451,Aksu,30.29,89,0,1.59,41.12,80.26
452,Portland,40.12,80,75,6.93,45.52,-122.68
453,Ust'-Omchug,-23.12,83,62,2.8,61.15,149.63
454,Pāsighāt,73.22,44,43,2.06,28.07,95.33
455,Shimoda,55.76,67,75,10.29,34.67,138.95
456,Atlantic Beach,52.92,82,1,4.7,30.33,-81.4
457,Chabahar,57.2,58,0,10.58,25.29,60.64
458,Severomuysk,-23.78,82,60,1.43,56.15,113.43
459,Pemba,78.4,88,75,8.05,-12.97,40.52
460,Lata,57.99,97,100,5.99,40.16,-8.33
461,Puerto Escondido,77.0,78,75,3.36,15.85,-97.07
462,Mangaratiba,71.6,94,0,3.36,-22.96,-44.04
463,Fortuna,45.61,94,44,2.3,40.6,-124.16
464,Tadine,80.38,81,97,17.43,-21.55,167.88
465,Cabra,57.99,69,100,1.99,37.47,-4.44
466,Leshan,54.09,57,83,1.03,29.56,103.76
467,Visby,35.83,93,100,9.17,57.64,18.3
468,Mackenzie,24.8,92,90,3.36,55.3,-123.17
469,Corpus Christi,68.36,88,20,11.41,27.8,-97.4
470,Limbe,76.26,100,75,5.5,4.02,9.21
471,Herat Province,30.2,100,90,2.42,34.5,62.0
472,Trairi,79.14,80,100,10.25,-3.28,-39.27
473,Beringovskiy,24.04,95,100,23.87,63.05,179.32
